number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim_feedforward,params_dropout,params_embedding_dim,params_learning_rate,params_num_heads,params_num_layers,params_optimizer,params_scheduler,params_weight_decay,state
0,0.8804950977452908,2025-04-14 20:21:58.851927,2025-04-14 21:41:54.033231,0 days 01:19:55.181304,32,256,0.25,64,0.0027211610169331816,2,3,Adam,CosineAnnealingWarmRestarts,0.0025129703663740047,COMPLETE
1,0.9512130927263002,2025-04-14 21:41:54.076093,2025-04-14 23:13:16.787813,0 days 01:31:22.711720,16,64,0.2,64,0.00023406119840067301,8,2,AdamW,ReduceLROnPlateau,0.008633585625833898,COMPLETE
2,0.8678525149567998,2025-04-14 23:13:16.789569,2025-04-14 23:34:55.722819,0 days 00:21:38.933250,16,64,0.1,16,0.006712682548857099,4,2,RMSprop,OneCycleLR,0.00019256794788815665,COMPLETE
3,0.8845046405952477,2025-04-14 23:34:55.723687,2025-04-15 00:04:50.527018,0 days 00:29:54.803331,16,256,0.15000000000000002,16,0.0008157998864309397,4,2,RMSprop,ReduceLROnPlateau,0.0722494208965414,COMPLETE
4,0.9102209650320129,2025-04-15 00:04:50.527726,2025-04-15 00:29:58.429398,0 days 00:25:07.901672,32,256,0.1,16,0.0012091904912592565,8,2,RMSprop,ReduceLROnPlateau,0.002101681884441971,COMPLETE
5,0.0,2025-04-15 00:29:58.430188,2025-04-15 01:21:19.009145,0 days 00:51:20.578957,16,256,0.25,16,0.0008896406629509383,8,3,Adam,ReduceLROnPlateau,0.017427006558410806,COMPLETE
6,0.0,2025-04-15 01:21:19.009894,2025-04-15 01:54:48.098825,0 days 00:33:29.088931,16,128,0.1,32,0.0040370783815242145,2,2,Adam,ReduceLROnPlateau,0.03415729828516246,COMPLETE
7,0.9663561434696937,2025-04-15 01:54:48.099629,2025-04-15 02:07:45.389586,0 days 00:12:57.289957,16,64,0.15000000000000002,16,0.005082979876686096,2,1,AdamW,ReduceLROnPlateau,0.0009698406686287919,COMPLETE
8,0.9276711862311622,2025-04-15 02:07:45.390431,2025-04-15 02:36:02.295270,0 days 00:28:16.904839,32,256,0.15000000000000002,64,0.0006121001240723876,8,1,RMSprop,CosineAnnealingWarmRestarts,0.0017864388037403538,COMPLETE
9,0.0,2025-04-15 02:36:02.296382,2025-04-15 02:40:32.703291,0 days 00:04:30.406909,32,128,0.25,16,0.0006497448212653238,4,2,AdamW,CosineAnnealingWarmRestarts,0.05723128939396272,COMPLETE
10,0.9531036791335984,2025-04-15 02:40:32.704176,2025-04-15 02:59:29.012124,0 days 00:18:56.307948,16,64,0.3,32,0.00011507947246513043,2,1,AdamW,OneCycleLR,0.00029992360225577727,COMPLETE
11,0.9547199153371716,2025-04-15 02:59:29.012939,2025-04-15 03:18:29.524412,0 days 00:19:00.511473,16,64,0.3,32,0.00010459072482109556,2,1,AdamW,OneCycleLR,0.00028017753297292117,COMPLETE
12,0.0,2025-04-15 03:18:29.525843,2025-04-15 03:23:23.662592,0 days 00:04:54.136749,16,64,0.3,32,0.009278830551334303,2,1,AdamW,OneCycleLR,0.0005631440670167864,COMPLETE
13,0.9655911104928533,2025-04-15 03:23:23.663318,2025-04-15 03:42:23.020830,0 days 00:18:59.357512,16,64,0.2,32,0.00031025302574602253,2,1,AdamW,OneCycleLR,0.0006708944840281642,COMPLETE
14,0.9617791359711235,2025-04-15 03:42:23.022188,2025-04-15 04:01:19.094248,0 days 00:18:56.072060,16,64,0.2,32,0.0003122216544587877,2,1,AdamW,OneCycleLR,0.0009922266569367894,COMPLETE
15,0.0,2025-04-15 04:01:19.095071,2025-04-15 04:05:33.306161,0 days 00:04:14.211090,16,64,0.15000000000000002,16,0.0028607815510369706,2,1,AdamW,ReduceLROnPlateau,0.006270573132990984,COMPLETE
16,0.9679091789195532,2025-04-15 04:05:33.307438,2025-04-15 04:24:43.738208,0 days 00:19:10.430770,16,128,0.2,32,0.0003179702108750333,2,1,AdamW,OneCycleLR,0.0007240643508876789,COMPLETE
17,0.0,2025-04-15 04:24:43.739327,2025-04-15 04:31:09.601335,0 days 00:06:25.862008,16,128,0.15000000000000002,32,0.0014928876455518182,2,1,AdamW,OneCycleLR,0.00012849737917187032,COMPLETE
18,0.0,2025-04-15 04:31:09.602048,2025-04-15 04:34:52.305533,0 days 00:03:42.703485,32,128,0.15000000000000002,16,0.00045361412123255527,2,3,AdamW,ReduceLROnPlateau,0.006340002545924005,COMPLETE
19,0.9684157085763613,2025-04-15 04:34:52.306497,2025-04-15 05:18:49.120798,0 days 00:43:56.814301,16,128,0.2,64,0.0018984960342824176,4,1,Adam,CosineAnnealingWarmRestarts,0.0010956175512645931,COMPLETE
